web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620506023-11619,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,RENTA DE DERPARTAMENTO EQUIPADO Y AMUEBLADO EN JURIQUILLA,25000,2,"2
                                    
                                
                                Baños",123
1620505741-10831,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,ADAMANT AMUEBLADO 2 REC,17500,2,"2
                                    
                                
                                Baños",80
1620505613-10560,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,DEPARTAMENTO EN RENTA EN CENTRAL PARK CENTRO SUR,22000,3,"3
                                    
                                
                                Baños",220
1620505853-11118,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,Departamento en Renta en Milenio 3a. Sección,17800,1,"2
                                    
                                
                                Baños",80
1620505872-11166,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,Departamento en Renta en El Refugio  Residencial,17500,3,"4
                                    
                                
                                Baños",250
1620505979-11450,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,"RENTA DE DEPARTAMENTO AMUEBLADO  EN ALEGRA TOWERS JURIQUILLA, QUERETARO",22000,1,"2
                                    
                                
                                Baños",98
1620505780-10952,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Departamento en renta LATITUD VICTORIA 2 recamaras,15000,2,"2
                                    
                                
                                Baños",105
1620505988-11488,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento en Renta ubicado en Ambar Tower Cumbres del Lago,18000,2,"2
                                    
                                
                                Baños",135
1620505997-11503,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,RENTA DE 2 DEPARTAMENTOS EN JURIQUILLA TOWERS UBICADOS EN EL PISO 9 Y 11,27100,2,"2
                                    
                                
                                Baños",114
1620505817-11028,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,"Renta de departamento Milenio, Querétaro",33000,3,"2
                                    
                                
                                Baños",200
1620505907-11240,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"renta departamento, el refugio QUERETARO",10500,2,"2
                                    
                                
                                Baños",90
1620505780-10939,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,"RENTA de DEPARTAMENTO AMUEBLADO con Alberca. Centro Sur, Queretaro",25000,3,"2
                                    
                                
                                Baños",110
1620506008-11548,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Renta de Departamento en Juriquilla Querétaro con hermosa vista,20000,2,"2
                                    
                                
                                Baños",160
1620505761-10890,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,Departamento amoblado en El Campanario de 40 mts2! RAHQRO,0,1,"1
                                    
                                
                                Baño",40
1620505960-11384,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Hermoso Depa en Altos de juriquilla 2 recamaras con baños y sala de tv,14000,2,"3
                                    
                                
                                Baños",156
1620505891-11188,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,HERMOSO DEPARTAMENTO AMUEBLADO EN RENTA EN RESIDENCIAL EL REFUGIO !!,19000,2,"2
                                    
                                
                                Baños",100
1620505346-10472,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Departamento en renta,18500,2,"2
                                    
                                
                                Baños",100
1620505907-11262,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,HERMOSO LOFT EN RENTA NATUUR Refugio,11000,1,"1
                                    
                                
                                Baño",60
1620505817-11035,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,DEPARTAMENTO EN RENTA LOS ARCOS,13500,2,"2
                                    
                                
                                Baños",89
1620505836-11070,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,Departamento en Renta en Milenio 3a. Sección,18500,33,"4
                                    
                                
                                Baños",170
1620505796-10962,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,RENTA DEPARTAMENTO 2 RECAMARAS EXCLUSIVO SUMMIT PARK,13500,2,"2
                                    
                                
                                Baños",110
1620505907-11255,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,Se renta departamento de 2 recamaras en junipero serra incluye servicios jpc,22000,2,"2
                                    
                                
                                Baños",130
1620506030-11648,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,Departamento Iluminado con Vista en Altos Juriquilla,14500,2,"2
                                    
                                
                                Baños",109
