web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505613-10568,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Renta Depto Centro Sur  2 Rec en Queretaro Amueblado Central Park T300,22000,2,"3
                                    
                                
                                Baños",156
1620505969-11434,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Renta departamento amueblado Santa Fe Juriquilla Querétaro Habtarea Towers 2 Rec,16000,2,"2
                                    
                                
                                Baños",100
1620505836-11090,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,Se  Renta  PH en Milenio amueblado o sin amueblar,14800,2,"2
                                    
                                
                                Baños",110
1620505613-10551,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Departamento en renta Centro Sur 2 habitaciones AVH,14000,2,"2
                                    
                                
                                Baños",87
1620505979-11454,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,RENTA DE DEPARTAMENTO AMUEBLADO JURIQUILLA QUERETARO,25000,3,"2
                                    
                                
                                Baños",150
1620505796-10985,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,RENTA DEPARTAMENTO AMUEBLADO TERRAZA EN EL MIRADOR,9500,1,"1
                                    
                                
                                Baño",70
1620505960-11407,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Departamento en renta muy iluminado GGV#21-1947,14500,2,"2
                                    
                                
                                Baños",109
1620505853-11110,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,DEPARTAMENTO EN RENTA EN QUERETARO Milenio 3a. Sección,18000,2,"2
                                    
                                
                                Baños",147
1620505613-10559,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Elegante Departamento en RENTA en Alia Centro Sur,18500,3,"3
                                    
                                
                                Baños",129
1620505660-10657,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,DEPARTAMENTO  EN  ALIA SKY LIVING CENTRO SUR,16500,2,"2
                                    
                                
                                Baños",100
1620505928-11300,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,Departamento en Renta a estrenar,15000,3,"2
                                    
                                
                                Baños",125
1620506030-11622,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,"Renta Departamento junto al Náutico de Juriquilla, Querétaro, Querétaro.",15500,1,"1
                                    
                                
                                Baño",100
1620505761-10891,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,RENTA DE DEPARTAMENTO EN EL CAMPANARIO 3 RECÁMARAS 2 BAÑOS BALCÓN,19500,3,"2
                                    
                                
                                Baños",96
1620505853-11105,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Renta de Amplio departamento con 2 recamara, ubicado en Fraccionamiento Milenio",14000,2,"2
                                    
                                
                                Baños",175
1620505942-11346,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"RENTA DE DEPARTAMENTO EN WISE LIVING, JURIQUILLA",24500,1,"1
                                    
                                
                                Baño",90
1620505960-11382,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Departamentos en Renta en Real De Juriquilla,18500,2,"2
                                    
                                
                                Baños",120
1620505891-11209,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,RENTA DEPARTAMENTO AMUEBLADO EL REFUGIO,14000,3,"2
                                    
                                
                                Baños",110
1620505907-11247,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,Departamento en zona premium del Refugio sin amueblar de 207 mts2! RAH,14000,1,"2
                                    
                                
                                Baños",207
1620506008-11537,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento en Juriquilla,32000,3,"3
                                    
                                
                                Baños",170
1620505907-11266,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"Lindo depa en renta en Privalia Ambienta, Cond. Nopal",6800,2,"2
                                    
                                
                                Baños",82
1620505969-11416,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,"En renta departamento amueblado en Juriquilla, Querétaro",18000,2,"2
                                    
                                
                                Baños",91
1620505725-10800,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Renta departamento amueblado Adamant Queretaro,19000,2,"2
                                    
                                
                                Baños",76
1620506014-11566,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Renta Departamento en Biosfera Juriquilla 3 Recamaras y excelente vista.,18000,3,"3
                                    
                                
                                Baños",133
1620505997-11528,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Renta depa amueblado con excelentes amenidades en Juriquilla JF,19000,1,"2
                                    
                                
                                Baños",98
1620505346-10465,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Hermoso depa amueblado y equipado listo para habitar en Cumbres del Lago JF,20500,3,"3
                                    
                                
                                Baños",106
1620505836-11081,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTA DEPARTAMENTO AMUEBLADO MILENIO,14000,3,"2
                                    
                                
                                Baños",140
1620505346-10469,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Departamento en renta,25000,3,"3
                                    
                                
                                Baños",232
1620505660-10671,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,RENTA DE DEPARTAMENTO AMUEBLADO NUEVO ZONA CENTRO SUR,19000,2,"2
                                    
                                
                                Baños",93
1620505891-11192,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,DEPARTAMENTO NUEVO EN RENTA EN NATUUR TOWERS EN ZONA DE EL REFUGIO,18000,3,"2
                                    
                                
                                Baños",160
1620505681-10695,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,RENTA DEPARTAMENTO ARCO DE PIEDRA JURICA,24000,3,"2
                                    
                                
                                Baños",175
1620505660-10664,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,Departamento sin Amoblar en Centro Sur de 2 Dormitorios! Rahqro,14000,2,"2
                                    
                                
                                Baños",87
1620506008-11540,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento con bonita vista en Altos de Juriquilla de 109 mts2! JGJ,14500,2,"2
                                    
                                
                                Baños",109
1620505988-11491,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento amueblado - Tu hogar rodeado de belleza natural - Múltiples y diversos e...,38000,3,"3
                                    
                                
                                Baños",161
1620505817-11014,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,DEPTO EN MILENIO LOS MEJORES ATARDECERES,15000,3,"2
                                    
                                
                                Baños",125
1620505780-10950,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Renta departamento a solo unos minutos del Centro de la ciudad AGT,13000,1,"1
                                    
                                
                                Baño",55
1620505796-10961,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Departamento en renta a estrenar en RES del PARQUE,11500,2,"2
                                    
                                
                                Baños",85
1620506014-11584,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,DEPARTAMENTO PENTHOUSE EN RENTA EN BIOSFERA TOWERS EN JURIQUILLA CON VISTA,28000,3,"4
                                    
                                
                                Baños",178
1620506014-11569,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,HERMOSO DEPARTAMENTO AMUEBLADO EN RENTA UBICADO EN JURIQUILLA,38000,3,"2
                                    
                                
                                Baños",224
1620505704-10739,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,Departamento amoblado en el pueblito de 3 dormitorios y 114 mts2! Rahqro,13000,3,"3
                                    
                                
                                Baños",114
1620505942-11324,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"Departamento en Renta, en Juriquilla, Querétaro",14000,2,"2
                                    
                                
                                Baños",109
1620505613-10567,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,RENTA DEPARTAMENTO AMUEBLADO EN CENTRO SUR 2 RECAMARAS 2 BAÑOS,21000,2,"2
                                    
                                
                                Baños",87
1620505872-11174,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,"Departamento en renta en Natuur, San José el Alto",18100,3,"2
                                    
                                
                                Baños",160
1620505942-11330,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Departamento - Juriquilla,25000,2,"2
                                    
                                
                                Baños",170
1620505960-11401,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Lindo Departamento en Renta. Juriquilla. FVR,23500,3,"3
                                    
                                
                                Baños",184
1620506014-11567,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,"RENTO DEPA EN JURIQUILLA, QUERÉTARO.",13500,2,"2
                                    
                                
                                Baños",91
1620505836-11096,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,"DEPARTAMENTO EN RENTA, MILENIO III, QUERÉTARO, QRO.",14080,3,"2
                                    
                                
                                Baños",140
1620505761-10882,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO NUEVO EN LA RESERVA EL CAMPANARIO,15000,2,"2
                                    
                                
                                Baños",113
1620505872-11175,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,RENTA DEPARTAMENTOS AMUEBLADOS - NATURR- EL REFUGIO - QUERETARO,20000,2,"2
                                    
                                
                                Baños",90
1620505942-11335,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Departamento Exclusivo en Renta Amueblado Juriquilla Santa Fe,25000,2,"2
                                    
                                
                                Baños",137
1620505704-10757,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,"Hermoso departamento en renta 2 recamaras en el pueblito, sin muebles jgj",7800,2,"2
                                    
                                
                                Baños",80
1620505725-10801,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Renta Departamento Adamant Queretaro  Amueblado,19000,2,"2
                                    
                                
                                Baños",75
1620505979-11444,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento en Renta a Estrenar en Juriquilla,16000,2,"2
                                    
                                
                                Baños",126
1620505997-11522,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,30000,3,"2
                                    
                                
                                Baños",175
1620505979-11449,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Se Renta Departamento 2 Recámaras en Juriquilla Posee Alberca y Gym YCC,17000,2,"2
                                    
                                
                                Baños",98
1620505960-11379,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,"Renta de Departamento  Amueblado en, Querétaro, ideal para ejecutivo EN RENTA",14000,1,"1
                                    
                                
                                Baño",70
1620505836-11084,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,Penthouse en renta amoblado de 3 dormitorios y 246 mts2 en El Milenio III RAHQRO,27000,3,"3
                                    
                                
                                Baños",246
1620505761-10879,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO NUEVO AMUEBLADO EN CITY VIEW,24000,2,"2
                                    
                                
                                Baños",133
1620505636-10600,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"Renta Departamento Centro Sur, excelente ubicación",15085,2,"2
                                    
                                
                                Baños",109
1620505796-10972,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Departamento en renta por la zona de El Mirador,14000,2,"2
                                    
                                
                                Baños",122
1620505681-10681,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,Se rentan departamentos (tipo loft) y recamaras en Av. Paseo Jurica,4500,1,"1
                                    
                                
                                Baño",60
1620505853-11127,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,Departamento en renta Milenio 3 habitaciones AVH,14000,3,"2
                                    
                                
                                Baños",146
1620505853-11121,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Loft en Renta, en Milenio 3a. Sección, Querétaro",9650,1,"1
                                    
                                
                                Baño",27
1620505681-10706,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,RENTA DEPARTAMENTO PALMAS CONDESA,11500,2,"2
                                    
                                
                                Baños",134
1620506008-11531,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,"D*RENTA DE DEPARTAMENTO EN JURIQUILLA $18,000.00 AMUEBLADO VISTA PANORÁMICA",18000,1,"1
                                    
                                
                                Baño",120
1620505741-10822,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA EN SIERRA AZUL CON VISTA A LA CIUDAD CAMPANARIO QUERETARO,23890,2,"2
                                    
                                
                                Baños",210
1620506023-11593,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,RENTA DEPARTAMENTO EN JURIQUILLA SANTA FE JACUZZI,12500,3,"3
                                    
                                
                                Baños",210
1620505997-11505,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,15400,3,"2
                                    
                                
                                Baños",97
1620505817-11029,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,"Renta de departamento Milenio, Querétaro",23000,2,"2
                                    
                                
                                Baños",134
1620505853-11120,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,RENTA DEPARTAMENTO EN CONDOMINIO CON ALBERCA MILENIO III,10000,2,"2
                                    
                                
                                Baños",100
1620505907-11238,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"DEPARTAMENTO EN RENTA 3 RECAMARAS CON ALBERCA, QUERETARO",12500,3,"2
                                    
                                
                                Baños",120
1620505997-11524,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,22000,2,"2
                                    
                                
                                Baños",145
1620506023-11607,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,Departamento - Juriquilla,20000,3,"3
                                    
                                
                                Baños",186
1620505780-10937,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Departamento en Centro Sur de 157 mts2 y 2 dormitorios! ATC,23000,2,"2
                                    
                                
                                Baños",157
1620505725-10807,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento sin amueblar en la zona de mayor plusvalía de Querétaro! RAHQRO,25000,2,"2
                                    
                                
                                Baños",76
1620505960-11386,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Renta  Departamento Queretaro  2 rec  Biosfera Juriquilla,15000,2,"2
                                    
                                
                                Baños",111
1620505891-11183,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Querétaro  El Refugio increíble departamento en renta,15900,3,"3
                                    
                                
                                Baños",157
1620505780-10934,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Departamento en Latitud - La Victoria,19000,3,"2
                                    
                                
                                Baños",129
1620505979-11439,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,RENTA DEPARTAMENTO AMUEBLADO EN JURIQUILLA SANTA FE 1 DORMITORIO,22500,1,"2
                                    
                                
                                Baños",98
1620505928-11307,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"PH Amplio, Amueblado y con Acabados de Lujo en Cumbres del Lago",28500,3,"3
                                    
                                
                                Baños",233
1620505741-10838,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"Departamento amueblado  en renta en Adamant, Campanario",14000,2,"1
                                    
                                
                                Baño",52
1620505761-10876,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,Departamento en Renta en La Reserva El Campanario,22000,3,"3
                                    
                                
                                Baños",150
1620506008-11532,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,"EXCELENTE DEPARTAMENTO NUEVO EN RENTA, FRACC. ALTOS JURIQUILLA",12750,2,"2
                                    
                                
                                Baños",92
1620505979-11468,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,"DEPARTAMENTO LOFT EN RENTA AMUEBLADO, EN JURIQUILLA, 2 RECAMARAS 160 M2",27000,2,"2
                                    
                                
                                Baños",160
1620505636-10615,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"Bello departamento en renta Amueblado, Centro Sur OFP EX965",21000,2,"2
                                    
                                
                                Baños",87
1620505346-10470,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Departamento en renta,16500,2,"2
                                    
                                
                                Baños",105
1620505780-10932,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Renta Depto Queretaro Amueblado 1 Rec Latitud Victoria Centro,14500,1,"1
                                    
                                
                                Baño",100
1620505636-10602,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,Espectacular Departamento de 2 Recámaras y 2  Baños en Centro Sur Ofp 19-600,15000,2,"2
                                    
                                
                                Baños",87
1620505997-11502,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,DEPARTAMENTO EN JURIQUILLA SANTA FE,21000,3,"2
                                    
                                
                                Baños",130
1620505741-10827,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"Departamento de Lujo en renta amueblado, Campanario",16500,2,"2
                                    
                                
                                Baños",90
1620505997-11501,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,"DEPARTAMENTO EN RENTA EN BIOSFERA TOWERS, JURIQUILLA, AMUEBLADO",20000,3,"2
                                    
                                
                                Baños",119
1620506023-11616,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA VÉRTICE JURIQUILLA,13500,2,"2
                                    
                                
                                Baños",90
1620505636-10609,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,LUJOSO DEPARTAMENTO AMUEBLADO Y EQUIPADO DE 162 m2 CON AMPLIA TERRAZA,24000,2,"2
                                    
                                
                                Baños",162
1620505346-10467,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,RENTA DE DEPARTAMENTO 2 HABITACIONES VISTA DIAMANTE,22000,2,"4
                                    
                                
                                Baños",196
1620505988-11476,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento Amueblado en Renta en Juriquilla Queretaro,24000,2,"2
                                    
                                
                                Baños",107
1620505891-11200,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,"TORRE MARBELLA, EL REFUGIO QUERÉTARO, BELLO DEPARTAMENTO EN RENTA.",18500,3,"3
                                    
                                
                                Baños",240
1620505969-11427,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,"Amueblado en juriquilla con impresionante vista, penthouse de 344 mts2! Rahqro",100000,4,"4
                                    
                                
                                Baños",344
1620505928-11319,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"Se Renta Departamento AMUEBLADO en Santa Fe Juriquilla, Alegra Towers, de LUJO !",20000,1,"2
                                    
                                
                                Baños",98
1620505836-11093,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTA DEPARTAMENTO EN CONDOMINIO EXCELENTES AMENIDADES,16500,2,"2
                                    
                                
                                Baños",100
1620505872-11168,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,HERMOSO DEPARTAMENTO NUEVO EN RENTA AMUEBLADO UBICADO EN ALTERA TOWERS !!,17500,3,"2
                                    
                                
                                Baños",128
1620506008-11549,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento en renta en Juriquilla 21537 JL,23501,3,"3
                                    
                                
                                Baños",184
1620505636-10603,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,RENTA DE DEPARTAMENTO AMUEBLADO Y EQUIPADO EN CENTRAL PARK,30000,2,"2
                                    
                                
                                Baños",160
1620505988-11479,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,"Departamento en Renta, en Juriquilla, Querétaro",17000,2,"2
                                    
                                
                                Baños",90
1620506014-11581,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,DEPARTAMENTO DE LUJO EN RENTA UBICADO EN JURIQUILLA,27000,3,"3
                                    
                                
                                Baños",200
1620505636-10614,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"Departamento amueblado en renta, Centro Sur",20000,2,"2
                                    
                                
                                Baños",162
1620505780-10951,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Exclusivo departamento en Renta en el Centro de QRO,13000,1,"1
                                    
                                
                                Baño",55
1620505636-10599,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"DEPARTAMENTO EN RENTA EN CENTRO SUR, KOLORIA",20000,3,"2
                                    
                                
                                Baños",110
1620505796-10981,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Departamento en renta por la zona de El Mirador OFP 20 1961,15000,2,"2
                                    
                                
                                Baños",85
1620505853-11119,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,PentHouse en renta amoblado con todos los servicios incluidos en Milenio YCC,27000,3,"3
                                    
                                
                                Baños",246
1620505836-11073,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTA DEPARTAMENTO AMUEBLADO,20000,2,"2
                                    
                                
                                Baños",120
1620505817-11021,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,Penthouse en Milenio III amueblado de 3 dormitorios y 246 mts2! RAHQRO,27000,3,"3
                                    
                                
                                Baños",246
1620505796-10975,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,RENTA DEPARTAMENTO AMUEBLADO EN EL MIRADOR,9000,1,"1
                                    
                                
                                Baño",70
1620505997-11514,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,22000,2,"2
                                    
                                
                                Baños",125
1620505660-10652,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,DEPARTAMENTO CON ACABADOS DE LUJO CON INCREIBLE VISTA A LA CIUDAD,15700,2,"2
                                    
                                
                                Baños",97
1620506030-11642,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,"Juriquilla, Departamento en Planta Baja en Condominio Privado - Renta",9500,2,"1
                                    
                                
                                Baño",89
1620505891-11193,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Departamento en Privalia ambienta 2 recamaras.,7500,2,"2
                                    
                                
                                Baños",84
1620506023-11594,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,"Departamento de lujo en Renta Juriquilla Towers, Querétaro",18500,2,"3
                                    
                                
                                Baños",128
1620505988-11471,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Apartment - Juriquilla,23000,2,"2
                                    
                                
                                Baños",139
1620505346-10479,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,"DEPAS EN RENTA EN CUMBRES DE LAGO JURIQUILLA, QUERÉTARO.",18000,2,"2
                                    
                                
                                Baños",135
1620506008-11543,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,DEPARTAMENTO AMUEBLADO Y EQUIPADO EN RENTA QUERETARO JURIQUILLA,24500,2,"2
                                    
                                
                                Baños",110
1620505636-10605,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,Departamento en Centro Sur de 157 mts2 y 2 dormitorios! ATC,23000,2,"2
                                    
                                
                                Baños",157
1620505928-11321,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"Departamento en Renta, en Juriquilla Santa Fe, Querétaro",22500,2,"2
                                    
                                
                                Baños",147
1620505988-11493,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Apartment - Juriquilla,15000,2,"2
                                    
                                
                                Baños",135
1620505891-11205,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,NATUUR TOWERS EL REFUGIO Departamento en renta,12000,2,"1
                                    
                                
                                Baño",86
