web-scraper-order,web-scraper-start-url,link,link-href,name,rating,evals
"1616530854-124","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Capricho sin culpa Andador 58","https://www.ubereats.com/queretaro/food-delivery/capricho-sin-culpa-andador-58/h5z1T3sYR0yEoCfg1kRw-A","Capricho sin culpa Andador 58","4.6","(18)"
"1616531117-146","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Pizza Puq","https://www.ubereats.com/queretaro/food-delivery/pizza-puq/zKqP55aaQ9avKwySy07E3g","Pizza Puq","4.6","(13)"
"1616531091-144","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Mangiare","https://www.ubereats.com/queretaro/food-delivery/mangiare/CysggMbwQ_-jROdUckAIsQ","Mangiare","null","null"
"1616530755-116","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Cosi Fan Tutte","https://www.ubereats.com/queretaro/food-delivery/cosi-fan-tutte/-likHZvRRtKPgtmNf-Vnqw","Cosi Fan Tutte","null","null"
"1616530806-120","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","D'Italian Pizza","https://www.ubereats.com/queretaro/food-delivery/ditalian-pizza/LmpRRti3TzuKHzFXlkYP6A","D'Italian Pizza","null","null"
"1616530984-135","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","""Happy Box"" Cajas de Alitas y Snaks","https://www.ubereats.com/queretaro/food-delivery/%22happy-box%22-cajas-de-alitas-y-snaks/GVJhSziTQL6o-vMpS9fOyg","""Happy Box"" Cajas de Alitas y Snaks","4.4","(48)"
"1616531079-143","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Ipanema Pizza Buffete","https://www.ubereats.com/queretaro/food-delivery/ipanema-pizza-buffete/SAbD_frYSneB1MxmUn47fg","Ipanema Pizza Buffete","4.4","(42)"
"1616530889-127","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","El Globo Queretaro Jardines","https://www.ubereats.com/queretaro/food-delivery/el-globo-queretaro-jardines/MRKEqcr_TAy5Yfpgmz4v5w","El Globo Queretaro Jardines","4.8","(497)"
"1616530705-112","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Pepe Pastes Plaza Master","https://www.ubereats.com/queretaro/food-delivery/pepe-pastes-plaza-master/abmUtOF-RfayxpJKxJJiOQ","Pepe Pastes Plaza Master","null","null"
"1616530717-113","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Nambila","https://www.ubereats.com/queretaro/food-delivery/nambila/iTBAleOSTceGCPMCoTZL4w","Nambila","null","null"
