web-scraper-order,web-scraper-start-url,name,rating
"1616528910-21","https://www.rappi.com.mx/restaurantes/category/pizza","Patricio´s","null"
"1616528910-20","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null"
"1616528910-19","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","4.5"
"1616528910-22","https://www.rappi.com.mx/restaurantes/category/pizza","Martinica","null"
"1616528910-18","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.8"
