web-scraper-order,web-scraper-start-url,link,link-href,name,rating,evals
1616527636-44,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Pizza Industry De la Luz,https://www.ubereats.com/queretaro/food-delivery/pizza-industry-de-la-luz/SgG7DZx1RLminmFNVNZ8dQ,null,4.5,(15)
1616526810-15,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Cheddars Pizza,https://www.ubereats.com/queretaro/food-delivery/cheddars-pizza/pqAB6Nc-SqmnzedmKW7mEQ,null,4.5,(69)
1616527830-51,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Pizza York,https://www.ubereats.com/queretaro/food-delivery/pizza-york/W_AuKiFxSEuQxiHsOJ7-uA,"Pizza York",4.5,(220)
1616526503-5,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Oso Burger,https://www.ubereats.com/queretaro/food-delivery/oso-burger/0w0LN3m_RDGSLFo9OmqKfQ,null,null,null
1616527803-50,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Pizzaburger,https://www.ubereats.com/queretaro/food-delivery/pizzaburger/nHj6MlUIQ3aZAoqz1i4qsQ,null,4.5,(240)
1616527458-37,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Mc Peppers Pizza,https://www.ubereats.com/queretaro/food-delivery/mc-peppers-pizza/U8-ha1hhRhCIbWGuFy60xg,null,4.9,(23)
1616527089-25,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Jalapeño's Pizza Geovillas,https://www.ubereats.com/queretaro/food-delivery/jalapenos-pizza-geovillas/CAuDsh9mS-WWoQ8ptzCjCg,null,null,null
1616526604-8,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Mi Amore Mio,https://www.ubereats.com/queretaro/food-delivery/mi-amore-mio/qDb1Rfu9SG2F_lB84xkiYg,null,4.4,(17)
1616527768-49,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Zapata Pizzas Satelite,https://www.ubereats.com/queretaro/food-delivery/zapata-pizzas-satelite/IokSahTzQFCNG8DjBMdRBg,null,4.7,(152)
1616527258-31,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Sabor a mi Hood,https://www.ubereats.com/queretaro/food-delivery/sabor-a-mi-hood/u1_S2dqxRhmaJrtK4csR2Q,null,4.6,(72)
